Year,Family,Genus,Reported.Taxon,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.Type
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,30.3,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,135.5,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,135.5,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,30.3,kg,HK,AU,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1056.1,kg,HK,ID,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,116.03,kg,HK,ID,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,18,kg,HK,ID,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,3,kg,HK,ID,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,239.9,kg,HK,YE,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,239.9,kg,HK,YE,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,150.7,kg,HK,YE,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,150.7,kg,HK,YE,,T,W,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2018,Sphyrnidae,Sphyrna,Sphyrna zygaena,30,kg,HK,SN,,T,W,I
2019,Lamnidae,Isurus,Isurus oxyrinchus,21500,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,21500,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,21500,kg,KR,ZA,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,1147,kg,BZ,HS,,T,X,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,1147,kg,ES,BZ,,T,X,I
2017,Alopiidae,Alopias,Alopias pelagicus,4700,kg,PE,EC,,T,O,E
2017,Alopiidae,Alopias,Alopias pelagicus,4700,kg,PE,EC,,T,O,E
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,50,kg,PE,EC,,T,O,E
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,50,kg,PE,EC,,T,O,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,19519,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,19519,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,19519,kg,KR,ZA,,T,W,E
2019,Myliobatidae,Mobula,Mobula spp.,132.8,kg,HK,IN,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,132.8,kg,HK,IN,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,24000,kg,MX,CR,,T,,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,24000,kg,MX,CR,,T,,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,33.61,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,316.15,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,182.74,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,96.34,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,182.74,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,10.3,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,40.24,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,33.61,kg,HK,AU,,T,W,E
2019,Myliobatidae,Mobula,Mobula japanica,400,kg,HK,LK,,T,W,E
2019,Myliobatidae,Mobula,Mobula tarapacana,247.5,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,400,kg,HK,LK,,T,W,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,1198,kg,HK,YE,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,949,kg,HK,YE,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,1500,kg,HK,YE,,T,W,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KR,ZA,,T,W,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,7000,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,5481,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,7000,kg,KR,ZA,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna lewini,182.65,kg,HK,AU,,T,W,I
2015,Sphyrnidae,Sphyrna,Sphyrna lewini,97.75,kg,HK,AU,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna lewini,84.9,kg,HK,AU,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna lewini,3.3,kg,HK,AU,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna mokarran,16.82,kg,HK,AU,,T,W,I
2015,Sphyrnidae,Sphyrna,Sphyrna mokarran,4.42,kg,HK,AU,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna mokarran,12.4,kg,HK,AU,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna mokarran,75.45,kg,HK,AU,,T,W,E
2019,Lamnidae,Isurus,Isurus oxyrinchus,12783,kg,KR,ZA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,12518,kg,KR,ZA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,12783,kg,KR,ZA,,T,W,E
2014,Lamnidae,Lamna,Lamna nasus,140,kg,DK,NO,,T,W,I
2014,Lamnidae,Lamna,Lamna nasus,140,kg,DK,NO,,T,W,I
2014,Lamnidae,Lamna,Lamna nasus,140,kg,DK,NO,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,15.84,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,54.69,kg,CN,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,4.3,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,11.54,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,125.33,kg,HK,AU,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,26.04,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,99.29,kg,HK,AU,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,114.84,kg,CN,AU,,T,W,E
2015,Sphyrnidae,Sphyrna,Sphyrna lewini,111.74,kg,HK,NI,,T,W,I
2015,Sphyrnidae,Sphyrna,Sphyrnidae spp.,111.51,kg,HK,NI,,T,W,E
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,139.65,kg,HK,MX,,T,O,I
2017,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,139.65,kg,CN,MX,,T,O,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,3836.2,kg,PE,EC,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,3780,kg,PE,EC,,T,W,E
2019,Myliobatidae,Mobula,Mobula japanica,80,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula japanica,300,kg,HK,LK,,T,W,E
2019,Myliobatidae,Mobula,Mobula tarapacana,100,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,350,kg,HK,LK,,T,W,E
2021,Alopiidae,Alopias,Alopias superciliosus,359.65,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,370,kg,PE,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,1585,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,1600,kg,PE,EC,,T,W,E
2019,Myliobatidae,Mobula,Mobula spp.,280,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula spp.,350,kg,HK,LK,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrnidae spp.,80.2,kg,HK,ID,,T,O,I
2020,Sphyrnidae,Sphyrna,Sphyrnidae spp.,1124.9,kg,HK,ID,,T,O,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,349.75,kg,HK,SV,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,428.4,kg,HK,SV,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,5969.65,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,6000,kg,PE,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias superciliosus,513.3,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,520,kg,PE,EC,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1035.3,kg,PE,EC,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1080,kg,PE,EC,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,8410,kg,ES,MA,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,9672,kg,ES,MA,,T,W,E
2018,Sphyrnidae,Sphyrna,Sphyrna zygaena,792.8,kg,HK,PE,,T,W,I
2018,Sphyrnidae,Sphyrna,Sphyrna zygaena,800,kg,HK,PE,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,848,kg,HK,OM,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,1000,kg,HK,OM,,T,W,E
2021,Myliobatidae,Mobula,Mobula mobular,130.9,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula mobular,143.5,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula spp.,69.4,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula spp.,75.5,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula tarapacana,51.3,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula tarapacana,64,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,8000,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,6040,kg,HK,LK,,T,W,I
2018,Alopiidae,Alopias,Alopias vulpinus,3202,kg,HK,PE,,T,O,I
2018,Alopiidae,Alopias,Alopias vulpinus,3422,kg,HK,PE,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,7150,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,8099,kg,PE,EC,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,804.2,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,766.7,kg,HK,LK,,T,W,I
2012,Cetorhinidae,Cetorhinus,Cetorhinus maximus,576.3,kg,HK,NO,,T,W,I
2012,Cetorhinidae,Cetorhinus,Cetorhinus maximus,605.6,kg,HK,NO,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,780,kg,KP,NAM,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,774,kg,KR,NAM,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,424.5,kg,HK,YE,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,242.5,kg,HK,YE,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1009.4,kg,HK,GT,,T,O,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1020.91,kg,HK,GT,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,7139,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,13920,kg,PE,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias superciliosus,890,kg,HK,OM,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,1000,kg,HK,OM,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,3656.4,kg,HK,OM,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,5500,kg,HK,OM,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,942,kg,HK,OM,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,1000,kg,HK,OM,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,1837.8,kg,HK,OM,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,2000,kg,HK,OM,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,25980,kg,ES,NAM,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,17479,kg,ES,NAM,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,10320,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,12000,kg,PE,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,4276.45,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,4283.8,kg,PE,EC,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,980,kg,HK,OM,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,1000,kg,HK,OM,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,20155,kg,ES,EC,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,19147.25,kg,ES,EC,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,399.05,kg,HK,LK,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,800,kg,HK,LK,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,181.4,kg,HK,MA,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,202,kg,HK,MA,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,12144,kg,KP,NAM,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,20013,kg,KR,NAM,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,882,kg,HK,LK,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1100,kg,HK,LK,,T,W,E
2020,Myliobatidae,Mobula,Mobula japanica,350,kg,HK,LK,,T,W,E
2020,Myliobatidae,Mobula,Mobula japanica,289,kg,HK,LK,,T,W,I
2020,Myliobatidae,Mobula,Mobula japanica,450,kg,HK,LK,,T,W,E
2020,Myliobatidae,Mobula,Mobula japanica,336,kg,HK,LK,,T,W,I
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,300,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,68.6,kg,HK,LK,,T,W,I
2020,Sphyrnidae,Sphyrna,Sphyrna lewini,300,kg,HK,LK,,T,W,E
2020,Sphyrnidae,Sphyrna,Sphyrna lewini,200.8,kg,HK,LK,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,7390,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,7642,kg,PE,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,4766.6,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,4800,kg,PE,EC,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,101.65,kg,SG,LK,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,150,kg,SG,LK,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,970.2,kg,HK,OM,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,1000,kg,HK,OM,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,10094,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,10500,kg,PE,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias superciliosus,892.2,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,900,kg,PE,EC,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1864,kg,PE,EC,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1900,kg,PE,EC,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,5670,kg,ES,EC,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,9700,kg,ES,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,659.65,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,666,kg,PE,EC,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,398,kg,HK,YE,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1000,kg,HK,YE,,T,W,E
2009,Cetorhinidae,Cetorhinus,Cetorhinus maximus,119.1,kg,HK,NO,,T,W,I
2009,Cetorhinidae,Cetorhinus,Cetorhinus maximus,200,kg,HK,NO,,T,W,E
2019,Myliobatidae,Mobula,Mobula spp.,217.25,kg,HK,IN,,T,W,I
2019,Myliobatidae,Mobula,Mobula spp.,158,kg,HK,IN,,T,W,E
2021,Alopiidae,Alopias,Alopias superciliosus,986.7,kg,HK,OM,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,1000,kg,HK,OM,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1563.4,kg,HK,OM,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,5000,kg,HK,OM,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,254.5,kg,HK,OM,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,300,kg,HK,OM,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,1628.5,kg,HK,OM,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,2000,kg,HK,OM,,T,W,E
2021,Myliobatidae,Mobula,Mobula japanica,84.7,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula japanica,100,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula spp.,170.7,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula spp.,215,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula tarapacana,52.4,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula tarapacana,75,kg,HK,LK,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,557,kg,HK,OM,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,600,kg,HK,OM,,T,W,E
2020,Sphyrnidae,Sphyrna,Sphyrna lewini,850,kg,HK,OM,,T,W,I
2020,Sphyrnidae,Sphyrna,Sphyrna lewini,1000,kg,HK,OM,,T,W,E
2015,Sphyrnidae,Sphyrna,Sphyrna lewini,34.96,kg,HK,AU,,T,W,I
2015,Sphyrnidae,Sphyrna,Sphyrna lewini,69.92,kg,HK,AU,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,25000,kg,KP,NAM,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,24332,kg,KR,NAM,,T,W,I
2019,Alopiidae,Alopias,Alopias pelagicus,12474,kg,HK,EC,,T,W,I
2019,Alopiidae,Alopias,Alopias pelagicus,14474,kg,HK,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias spp.,607.1,kg,HK,YE,,T,W,I
2021,Alopiidae,Alopias,Alopias spp.,3000,kg,HK,YE,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,24605,kg,KP,NAM,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,23814,kg,KR,NAM,,T,W,I
2019,Myliobatidae,Mobula,Mobula japanica,16,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula japanica,300,kg,HK,LK,,T,W,E
2019,Myliobatidae,Mobula,Mobula tarapacana,250,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,300,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,500,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,137.5,kg,HK,LK,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,300,kg,SG,LK,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,64.6,kg,SG,LK,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,6591,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,6600,kg,PE,EC,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,365,kg,HK,YE,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,1500,kg,HK,YE,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,6916.47,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,8123,kg,PE,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias superciliosus,294.63,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,502,kg,PE,EC,,T,W,E
2021,Myliobatidae,Mobula,Mobula mobular,134.8,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula mobular,175,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula tarapacana,160.7,kg,HK,LK,,T,W,I
2021,Myliobatidae,Mobula,Mobula tarapacana,175,kg,HK,LK,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,259.6,kg,HK,YE,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,1500,kg,HK,YE,,T,W,E
2019,Myliobatidae,Mobula,Mobula spp.,327.8,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula spp.,350,kg,HK,LK,,T,W,E
2020,Sphyrnidae,Sphyrna,Sphyrna zygaena,896.55,kg,SG,PE,,T,W,I
2020,Sphyrnidae,Sphyrna,Sphyrna zygaena,104,kg,CN,SN,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1100,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,890.6,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,289,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,400,kg,HK,LK,,T,W,E
2021,Alopiidae,Alopias,Alopias superciliosus,431.2,kg,HK,OM,,T,W,I
2021,Alopiidae,Alopias,Alopias superciliosus,500,kg,HK,OM,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,2899.3,kg,HK,OM,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,3000,kg,HK,OM,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,318.6,kg,HK,OM,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,400,kg,HK,OM,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,822.2,kg,HK,OM,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,900,kg,HK,OM,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,2447.8,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,2500,kg,PE,EC,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,294.25,kg,PE,EC,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,300,kg,PE,EC,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,810.4,kg,HK,OM,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1200,kg,HK,OM,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,154.6,kg,HK,OM,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,300,kg,HK,OM,,T,W,E
2019,Sphyrnidae,Sphyrna,Sphyrna lewini,439.7,kg,HK,OM,,T,W,I
2019,Sphyrnidae,Sphyrna,Sphyrna lewini,600,kg,HK,OM,,T,W,E
2019,Myliobatidae,Mobula,Mobula japanica,225,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula japanica,300,kg,HK,LK,,T,W,E
2019,Myliobatidae,Mobula,Mobula tarapacana,150,kg,HK,LK,,T,W,I
2019,Myliobatidae,Mobula,Mobula tarapacana,260,kg,HK,LK,,T,W,E
2021,Myliobatidae,Mobula,Mobula spp.,235,kg,HK,YE,,T,W,I
2021,Myliobatidae,Mobula,Mobula spp.,500,kg,HK,YE,,T,W,E
2015,Lamnidae,Carcharodon,Carcharodon carcharias,236.09,kg,HK,NI,,T,W,I
2015,Lamnidae,Carcharodon,Carcharodon carcharias,144.8818207,kg,HK,NI,,T,W,E
2019,Alopiidae,Alopias,Alopias pelagicus,875,kg,HK,EC,,T,W,I
2019,Alopiidae,Alopias,Alopias pelagicus,900,kg,HK,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,6557.33,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,8611,kg,PE,EC,,T,W,E
2021,Alopiidae,Alopias,Alopias pelagicus,6873.89,kg,PE,EC,,T,W,I
2021,Alopiidae,Alopias,Alopias pelagicus,7000,kg,PE,EC,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1987.15,kg,PE,EC,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,2000,kg,PE,EC,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,1192.75,kg,PE,EC,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,1200,kg,PE,EC,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,915,kg,ES,MA,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,33,kg,HK,ID,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,92.5,kg,HK,ID,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,305,kg,HK,ID,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,40.86,kg,HK,ID,,T,W,E
2022,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,40,kg,HK,NI,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna lewini,20,kg,HK,NI,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna mokarran,10,kg,HK,NI,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna zygaena,623.55,kg,HK,MX,,T,W,I
2020,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,1500,kg,HK,LK,,T,W,E
